Q_no,Chakra_Name_kn,Chakra_Name_te,Chakra_Name_en,Chakra_Name_sa,karaka_no,karaka_name_kn,karaka_name_te,karaka_name_en,karaka_name_sa,chakra_result_kn,chakra_result_te,chakra_result_en,chakra_result_sa
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,7,ಶ್ರೀರಾಮ,శ్రీరామ,Sri Rama,श्रीराम,ಆ ಮನುಷ್ಯನು ದಕ್ಷಿಣದಿಕ್ಕಿನಲ್ಲಿ ಹೋಗಿರುವನು. ಬರುವುದು ವಿಲಂಬವಾಗುವುದು,ఆ వ్యక్తి దక్షిణ దిశకు వెళ్లాడు. రావడం ఆలస్యం అవుతుంది.,That person has gone south. His return will be delayed.,सः दक्षिणदिशं गतः। तस्य आगमनं विलम्बेन भवेत्।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,6,ಲಕ್ಷ್ಮಣ,లక్ష్మణుడు,Lakshmana,लक्ष्मण,ಅವನು ಆಗ್ನೇಯದಿಶೆಯಲ್ಲಿ ತಿರುಗಾಡುತಿರುತ್ತಾನೆ. ಕುಶಲವಾಗಿದ್ದಾನೆ,అతను ఆగ్నేయ దిశలో సంచరిస్తున్నాడు. క్షేమంగా ఉన్నాడు.,He is moving in the southeast direction. He is safe.,सः आग्नेयदिशि सञ्चरति। सः कुशलः अस्ति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,8,ಅಂಗದ,అంగద,organ,अंगद,ಅವನು ಈಗ ನಿನ್ನ ಸಮೀಪದಲ್ಲೇ ಪ್ರಯಾಣಮಾಡುತ್ತಿದ್ದಾನೆ. ಶೀಘ್ರವಾಗಿ ಬರುತ್ತಾನೆ,అతను ఇప్పుడు నీ సమీపంలోనే ప్రయాణిస్తున్నాడు. త్వరలో వస్తాడు.,He is currently traveling near you. He will arrive soon.,सः अधुना तव समीपे यात्रां करोति। शीघ्रं आगमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,9,ಜಾಂಬವಂತ,జాంబవంతుడు,Jambavanta,जांबवंत,ಅವನು ಈಶಾನ್ಯದಿಕ್ಕಿನಲ್ಲಿ ತಿರುವಾಡುತ್ತಿದ್ದಾನೆ.  ಅವನು ಮಾರ್ಘದಿಂದ ಬರುತ್ತಿದ್ದಾನೆ. ವಿಚಾರಿಸಬೇಡ,అతను ఈశాన్య దిశలో సంచరిస్తున్నాడు. మార్గములో వస్తున్నాడు. చింతించవద్దు.,He is wandering in the northeast. He is on the way. Do not worry.,सः ईशान्यदिशि सञ्चरति। मार्गे आगच्छति। मा चिन्तय।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,10,ವಾಲಿ,వాలి,Wally,वालि,ಅವನು ಪೂರ್ವದ ದಿಕ್ಕಿನಲ್ಲಿ ಹೋಗಿದೆ. ಮರಳಿಬರುವುದಿಲ್ಲ,అతను తూర్పు దిశకు వెళ్లాడు. తిరిగి రాడు.,He has gone towards the east. He will not return.,सः पूर्वदिशं गतः। न प्रत्यागमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,1,ಹನುಮ,హనుమ,Hanuman,हनुम,ಅವನು ಆಗ್ನೇಯದಿಕ್ಕಿನಕಡೆ ಹೋಗಿದ್ದಾನೆ. ಬರುತ್ತಾನೆ,అతను ఆగ్నేయ దిశ వైపు వెళ్లాడు. వస్తాడు.,He has gone towards the southeast. He will return.,सः आग्नेयदिशं गतः। आगमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,2,ನೀಲ,నీల,blue,नील,ಅವನು ಉತ್ತರದಿಕ್ಕಿಗೆ ಹೋಗಿದೆ. ಆಲಸ್ಯವಾಗಿ ಬರುತ್ತ್ತಾನೆ,అతను ఉత్తర దిశకు వెళ్లాడు. ఆలస్యంగా వస్తాడు.,He has gone towards the north. He will return with delay.,सः उत्तरदिशं गतः। विलम्बेन आगमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,3,ನಲ,నల,Nala,नल,ಅವನು ಪೂರ್ವದ ದಿಕ್ಕಿಗೆ ಹೋಗಿದ್ದಾನೆ. ಶೀಘ್ರವಾಗಿ ಬರುತ್ತಾನೆ,అతను తూర్పు దిశకు వెళ్లాడు. త్వరగా వస్తాడు.,He has gone towards the east. He will return soon.,सः पूर्वदिशं गतः। शीघ्रं आगमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,4,ವಿಭೀಷಣ,విభీషణుడు,Bhishana,विभीषण,ಅವನು ದಕ್ಷಿಣ ದಿಕ್ಕಿಗೆ ಹೋಗಿರುವನು. ಬರುತ್ತಾನೆ,అతను దక్షిణ దిశకు వెళ్లాడు. వస్తాడు.,He has gone towards the south. He will return.,सः दक्षिणदिशं गतः। आगमिष्यति।
2,ಆಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,ఆగమన పరీక్షా చక్రం  ,Arrival Examination Chakra  ,आगमन परीक्षा चक्रम्  ,5,ಸುಗ್ರೀವ,సుగ్రీవ,Sugriva,सुग्रीव,ಅವನು ವಾಯುವ್ಯದಿಕ್ಕಿನಕಡೆ ಹೋಗಿದ್ದಾನೆ. ಅವನು ತುಂಬಾ ಆಲಸ್ಯವಾಗಿ ಬರುತ್ತಾನಿ,అతను వాయువ్య దిశకు వెళ్లాడు. చాలా ఆలస్యంగా వస్తాడు.,He has gone towards the northwest. He will return very late.,सः वायव्यदिशं गतः। अतीव विलम्बेन आगमिष्यति।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,8,ಶ್ರೀರಾಮ,శ్రీరామ,Sri Rama,श्रीराम,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ಆದರೇ ನೀರಿನ ಸೌಲಭ್ಯ ಕಷ್ಟತರವಾಗುವುದು,నీవు వ్యవసాయం చేయు. అయితే నీటి సౌకర్యం కష్టంగా ఉంటుంది.,You should take up agriculture. However; water availability will be difficult.,त्वं कृषिकर्म कुरु। जलसुविधा कठिनतया भविष्यति।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,9,ಲಕ್ಷ್ಮಣ,లక్ష్మణుడు,Lakshmana,लक्ष्मण,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ಬಹಳು ಲಾಭವಿದೆ. ನೀನು ನಿಶ್ಚಯದಿಂದ ಮಾಡುತ್ತಿಯ,నీవు వ్యవసాయం చేయు. మంచి లాభం ఉంటుంది. నిశ్చయంగా చేయు.,Do agriculture. There will be good profit. Proceed with confidence.,कृषिकर्म कुरु। महान् लाभः भविष्यति।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,1,ಅಂಗದ,అంగద,organ,अंगद,ನೀನು ಸ್ವಲ್ಫ ಹಣವನ್ನು ಖರ್ಚುಮಾಡಿದರೇ ನಿನ್ನಮೇಲಿರುವ ನಿಂದೆ ಸ್ವಲ್ಫ ತೊಲಗುವುದು. ನಿಶ್ಚಿತವಾಗಿ ವೊಳ್ಳೆಯದು ಆಗುವುದು.,నీవు కొంత ధనం ఖర్చు చేస్తే నీ మీద ఉన్న అపవాదు కొంత తగ్గుతుంది. చివరకు శుభం జరుగుతుంది.,If you spend some money; the blame on you will reduce. Eventually; good will happen.,स्वल्पं धनं व्ययः कृतः चेत् निन्दा निवर्तते। अन्ते शुभं भवेत्।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,10,ಜಾಂಬವಂತ,జాంబవంతుడు,Jambavanta,जांबवंत,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ವೊಳ್ಳೆಯದಾಗುವುದು,నీవు వ్యవసాయం చేయు. శుభ ఫలితాలు వస్తాయి.,Do agriculture. It will yield good results.,कृषिकर्म कुरु। शुभफलम् लभ्यते।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,3,ವಾಲಿ,వాలి,Wally,वालि,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡಬೇಡ. ಅದು ನಿನಗೆ ಯೋಗಿಸುವುದಿಲ್ಲ.,నీవు వ్యవసాయం చేయవద్దు. అది నీకు అనుకూలం కాదు.,Do not engage in agriculture. It is not suitable for you.,कृषिकर्म मा कुरु। न तव अनुकूलम्।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,2,ಹನುಮ,హనుమ,Hanuman,हनुम,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ಬಹಳಾ ವೃದ್ದಿಯಾಗುವುದು,నీవు వ్యవసాయం చేయు. చాలా అభివృద్ధి కలుగుతుంది.,Do agriculture. There will be great growth.,कृषिकर्म कुरु। महान् वृद्धिः भवेत्।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,5,ನೀಲ,నీల,blue,नील,ನೀನು ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ಜಯವಾಗುವುದು. ಲಾಭದಾಯಕವಾಗುವುದು,నీవు వ్యవసాయం చేయు. విజయము మరియు లాభం కలుగుతుంది.,Do agriculture. You will gain success and profit.,कृषिकर्म कुरु। जयः लाभश्च भवतः।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,4,ನಲ,నల,Nala,नल,ನೀನು ವ್ಯವಸಾಯ ಮಾಡಿದರೇ ಹೆಚ್ಚಿನ ಸಸ್ಯ; ಧಾನ್ಯ ಹೊಂದುತ್ತಿಯ,నీవు వ్యవసాయం చేస్తే అధిక ధాన్య సంపత్తి పొందుతావు.,If you do agriculture; you will obtain abundant crops and grains.,कृषिकर्म कृत्वा बहुधान्यलाभः भवेत्।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,7,ವಿಭೀಷಣ,విభీషణుడు,Bhishana,विभीषण,ವ್ಯವಸಾಯವನ್ನು ಮಾಡು. ಜಲವು ಲಭಿಸುವುದು. ಉತ್ತಮ ಫಲ ಸಿಗುವುದು,వ్యవసాయం చేయు. నీరు లభిస్తుంది. మంచి ఫలితం లభిస్తుంది.,Do agriculture. Water will be available. Good results will come.,कृषिकर्म कुरु। जललाभः भवेत्। उत्तमफलम् लभ्यते।
3,ಕೃಷಿ-ಕರ್ಮ ಚಕ್ರ,కృషికర్మ పరీక్షా చక్రం  ,Agriculture Examination Chakra  ,कृषिकर्म परीक्षा चक्रम्  ,6,ಸುಗ್ರೀವ,సుగ్రీవ,Sugriva,सुग्रीव,ಕೃಷಿಕರ್ಮ ಮಾಡಿದರೆ ಕಷ್ಟದ ಮೇಲೆ ಸ್ವಲ್ಫ ಲಾಭವಾಗುತ್ತದೆ,వ్యవసాయం చేస్తే కష్టం తరువాత కొంత లాభం కలుగుతుంది.,Agriculture will bring small gains after hardship.,कृषिकर्मे कष्टानन्तरं स्वल्पलाभः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,9,ಶ್ರೀರಾಮ,శ్రీరామ,Sri Rama,श्रीराम,ವ್ಯಾಪಾರ ಚೆನ್ನಾಗಿ ನಡೆಯುವುದಿಲ್ಲ. ಮೊದಲಿಗೇ ಮೋಸವಾಗುವುದು,వ్యాపారం సరిగా సాగదు. మొదటనే నష్టం సంభవిస్తుంది.,Business will not run well. There may be loss in the beginning.,व्यापारः न सुकरः। आदौ हानिः सम्भवति।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,10,ಲಕ್ಷ್ಮಣ,లక్ష్మణుడు,Lakshmana,लक्ष्मण,ವ್ಯಾಪಾರ ಮಾಡುವುದರಿಂದ ವಿಶೇಷಧನ ಲಾಭ. ನಿಶ್ಚಯ.,వ్యాపారం చేస్తే ప్రత్యేకమైన ధన లాభం కలుగుతుంది. నిశ్చయం.,Doing business will bring special financial gain. Certainly.,व्यापारात् विशेषधनलाभः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,2,ಅಂಗದ,అంగద,organ,अंगद,ಶ್ರಮೆ ಪಟ್ಟರೇ ಬಹಳಾ ಸುಖವು ಹೊಂದುತ್ತಿಯ,శ్రమిస్తే చాలా సుఖం పొందుతావు.,If you work hard; you will attain great comfort.,परिश्रमेण महत् सुखं लभ्यते।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,1,ಜಾಂಬವಂತ,జాంబవంతుడు,Jambavanta,जांबवंत,ನೀನು ಮೂಲಧನದಿಂದ ವ್ಯಾಪಾರವನ್ನು ಮಾಡುತ್ತಿದ್ದಿಯ. ಅದು ಸಫಲವಾಗುತ್ತದೆ,నీవు మూలధనంతో వ్యాపారం చేస్తున్నావు. అది సఫలమవుతుంది.,You are doing business with capital. It will succeed.,त्वं मूलधनेन व्यापारं करोति। सः सफलः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,4,ವಾಲಿ,వాలి,Wally,वालि,ನೀನು ಹಣವನ್ನು ಇಟ್ಟು ವ್ಯಾಪಾರ ಮಾಡಬೇಡ. ನಿನ್ನ ಮೂಲ ದ್ರವ್ಯರಾಶಿ ನಾಶನವಾಗುವುದು,నీవు ధనం పెట్టి వ్యాపారం చేయవద్దు. నీ మూలధనం నశిస్తుంది.,Do not invest money into business. Your capital may be lost.,धनं निवेश्य व्यापारं मा कुरु। मूलधननाशः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,3,ಹನುಮ,హనుమ,Hanuman,हनुम,ನೀನು ಜೀವವ್ಯಾಪಾರ ಮಾಡಬಯಸಿದ್ದಿಯ. ಮಾಡಿದರೇ ಜಯವಾಗುವುದು,నీవు జీవ సంబంధ వ్యాపారం చేయాలని కోరుకుంటున్నావు. చేస్తే విజయం పొందుతావు.,You wish to do livelihood-based business. It will bring success.,जीविकासम्बद्धं व्यापारं कर्तुम् इच्छसि। जयः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,5,ನಲ,నల,Nala,नल,ನೀನು ವ್ಯಾಪಾರ ಮಾಡ ಬಯಸಿದ್ದಿಯ. ಲಾಭದಾಯಕವಾಗುವುದು,నీవు వ్యాపారం చేయాలని కోరుకుంటున్నావు. లాభదాయకంగా ఉంటుంది.,You wish to do business. It will be profitable.,व्यापारं कर्तुम् इच्छसि। लाभः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,8,ವಿಭೀಷಣ,విభీషణుడు,Bhishana,विभीषण,ನೀನು ಪ್ರಾಣ ಸಂಭಂದವಾದ; ಮೂಲದ್ರವ್ಯ ಸಂಭಂದವಾದ ವ್ಯಾಪಾರವನ್ನು ಮಾಡಬಯಸಿದ್ದಿಯ. ಮಾಡು. ಲಾಭದಾಯಕವಾಗುವುದು,నీవు ప్రాణ సంబంధ మరియు మూలధన సంబంధ వ్యాపారం చేయాలని కోరుకుంటున్నావు. చేయు. లాభదాయకంగా ఉంటుంది.,You wish to do business related to life/resources. Proceed; it will be profitable.,प्राणसम्बद्धं वा मूलधनसम्बद्धं व्यापारं कुरु। लाभः भवेत्।
4,ವ್ಯಾಪಾರ ಪರೀಕ್ಷಾ ಚಕ್ರ,వ్యాపార పరీక్షా చక్రం  ,Business Examination Chakra  ,व्यापार परीक्षा चक्रम्  ,7,ಸುಗ್ರೀವ,సుగ్రీవ,Sugriva,सुग्रीव,ನಿನಗೆ ಅಪವಾದದಿಂದ ಹೆಸರು ಕೆಡುವುದು,నీవు అపవాదం వల్ల పేరుకు నష్టం కలుగుతుంది.,You may face defamation and loss of reputation.,अपवादेन कीर्तिनाशः भवेत्।
5,ಗಂಗಾಪ್ರಾಪ್ತಿ ಪರೀಕ್ಷಾ ಚಕ್ರ,గంగాప్రాప్తి పరీక్షా చక్రం  ,Ganga Attainment Examination Chakra  ,गङ्गाप्राप्ति परीक्षा चक्रम्  ,6,ಶ್ರೀರಾಮ,శ్రీరామ,Sri Rama,श्रीराम,ನಿನಗೆ ಗಂಗವನ್ನು ಹೊಂದುವುದಕ್ಕೆ ಇರುವ ಬಯಕೆ ಈಡೇರುವುದು,నీవు గంగను పొందాలనే కోరిక నెరవేరుతుంది.,Your desire to attain Ganga will be fulfilled.,गङ्गाप्राप्तेः इच्छा सिद्ध्यति।
5,ಗಂಗಾಪ್ರಾಪ್ತಿ ಪರೀಕ್ಷಾ ಚಕ್ರ,గంగాప్రాప్తి పరీక్షా చక్రం  ,Ganga Attainment Examination Chakra  ,गङ्गाप्राप्ति परीक्षा चक्रम्  ,8,ಲಕ್ಷ್ಮಣ,లక్ష్మణుడు,Lakshmana,लक्ष्मण,ನಿನ್ನ ಕಾಶೀಪ್ರಯಾಣ ಸಂಭಂದವಾದ ಬಯಕೆ ಈಡೇರುತ್ತದೆ,నీ కాశీ ప్రయాణ కోరిక నెరవేరుతుంది.,Your wish to travel to Kashi will be fulfilled.,काशीयात्रा इच्छा सिद्ध्यति।
5,ಗಂಗಾಪ್ರಾಪ್ತಿ ಪರೀಕ್ಷಾ ಚಕ್ರ,గంగాప్రాప్తి పరీక్షా చక్రం  ,Ganga Attainment Examination Chakra  ,गङ्गाप्राप्ति परीक्षा चक्रम्  ,10,ಅಂಗದ,అంగద,organ,अंगद,ನಿನಗೆ ಗಂಗಾ ಪ್ರಾಪ್ತಿ ಅತಿವಿಲಕ್ಷಣವಾಗಿ ನಡೆಯುತ್ತದೆ,నీవు గంగ ప్రాప్తి విచిత్రంగా జరుగుతుంది.,You will attain Ganga in an unusual way.,गङ्गाप्राप्तिः विचित्ररूपेण भवेत्।
